id;pdate;department;technical_indicators;experience;position;salary_expectation;possible_assignmnet;last_status;last_description;edit_by
1;2021-10-29T14:13:51;blue Centralized;Kaledonya,;Refined;generating Visionary;24546;Unbranded;Frozen SMS;Small Quality;virtual grey Tuna
2;2021-10-30T10:59:23;District Soap;Intelligent bleeding-edge;discrete;Executive XML emulation;34544;Borders transmitting Land;Berkshire;Upgradable;Account
3;2021-10-30T03:25:38;Chips panel Loan;indigo Automotive calculating;Industrial Stream Carolina;Unbranded;99772;sticky loyalty;Strategist;Garden Pants Fish;invoice
4;2021-10-29T22:00:20;Engineer deliverables;navigate;Account;PCI;64212;Unbranded;B2C;AGP;viral
5;2021-10-30T04:19:41;Usability;transition;Plastic;orange Technician;3161;card Bacon;Bedfordshire haptic;user-centric Synchronised Spring;invoice
6;2021-10-29T17:05:54;International Forward;monitor cutting-edge Wall;sky calculating;Open-architected overriding Romanya;42575;Legacy utilize;Soft Metal;Compatible transmit;interface Account
7;2021-10-30T10:47:41;Franc;magnetic;withdrawal withdrawal;Dakota Towels;4823;Car;violet;Metal;magnetic cross-media communities
8;2021-10-29T17:09:50;innovative Chicken Ball;Division;Plains matrix;Accountability;31336;multi-byte challenge Health;system Pass silver;B2B;embrace
9;2021-10-30T02:39:05;index lavender;Norveç;HTTP;Fish client-driven THX;91047;cross-media;Hampshire high-level;Distributed JSON indexing;Florida parsing neural
10;2021-10-29T20:43:54;Dominican;Team-oriented Principal;Implementation;hacking open-source;22793;ROI Developer International;Handcrafted;Wooden Burg;bandwidth
